TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr19 A|19 6.03 cM	mouse chr19 A|19 6.03 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr18 B1|18 18.57 cM	mouse chr18 B1|18 18.57 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr18 B3|18 19.58 cM	mouse chr18 B3|18 19.58 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 F|5 63.67 cM	mouse chr5 F|5 63.67 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 E1|11 70.02 cM	mouse chr11 E1|11 70.02 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr14 E2.3|14 56.16 cM	mouse chr14 E2.3|14 56.16 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 E2|11 80.58 cM	mouse chr11 E2|11 80.58 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F3|7 69.26 cM	mouse chr7 F3|7 69.26 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 F|5 63.02 cM	mouse chr5 F|5 63.02 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr4 D3|4 70.66 cM	mouse chr4 D3|4 70.66 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 A3|2 18.96 cM	mouse chr2 A3|2 18.96 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F5|7 86.48 cM	mouse chr7 F5|7 86.48 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 A3.3|17 12.08 cM	mouse chr17 A3.3|17 12.08 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr19 A|19 3.89 cM	mouse chr19 A|19 3.89 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX A3.1|X	mouse chrX A3.1|X	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 A2|5 6.51 cM	mouse chr5 A2|5 6.51 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr3 F2.1|3 41.71 cM	mouse chr3 F2.1|3 41.71 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX C3|X 43.19 cM	mouse chrX C3|X 43.19 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 A3.3|17 15.71 cM	mouse chr17 A3.3|17 15.71 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 C3|2 43.78 cM	mouse chr2 C3|2 43.78 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 A3.3|17 15.14 cM	mouse chr17 A3.3|17 15.14 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr14 A3|14 11.58 cM	mouse chr14 A3|14 11.58 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr8 B1.1|8 26.86 cM	mouse chr8 B1.1|8 26.86 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 A3.3|17 12.88 cM	mouse chr17 A3.3|17 12.88 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11|11 A1	mouse chr11|11 A1	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 F2|9 59.2 cM	mouse chr9 F2|9 59.2 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr10 C2|10 48.57 cM	mouse chr10 C2|10 48.57 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F5|7 88.31 cM	mouse chr7 F5|7 88.31 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr1 B|1 15.32 cM	mouse chr1 B|1 15.32 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr14 C1|14 26.42 cM	mouse chr14 C1|14 26.42 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 A3|9 7.93 cM	mouse chr9 A3|9 7.93 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr13 A5|13	mouse chr13 A5|13	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 B1|5 12.45 cM	mouse chr5 B1|5 12.45 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr10 A4|10 16.46 cM	mouse chr10 A4|10 16.46 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 B1|7 19.26 cM	mouse chr7 B1|7 19.26 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 C3.1|5 32.04 cM	mouse chr5 C3.1|5 32.04 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F5|7 88.09 cM	mouse chr7 F5|7 88.09 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F4|7 84.89 cM	mouse chr7 F4|7 84.89 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 A2|7 8.6 cM	mouse chr7 A2|7 8.6 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr19 D2|19 51.89 cM	mouse chr19 D2|19 51.89 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 B3|7 29.58 cM	mouse chr7 B3|7 29.58 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 B1.3|11 30.95 cM	mouse chr11 B1.3|11 30.95 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 E3|17 50.97 cM	mouse chr17 E3|17 50.97 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17|17 E1.1	mouse chr17|17 E1.1	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 B1|5 13.23 cM	mouse chr5 B1|5 13.23 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 A3|7 10.09 cM	mouse chr7 A3|7 10.09 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr3 F2.1|3 42.0 cM	mouse chr3 F2.1|3 42.0 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F3|7 70.08 cM	mouse chr7 F3|7 70.08 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr4 C5|4 43.16 cM	mouse chr4 C5|4 43.16 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr1 C1.3|1 28.72 cM	mouse chr1 C1.3|1 28.72 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 E2|11 78.74 cM	mouse chr11 E2|11 78.74 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr15 D3|15 33.92 cM	mouse chr15 D3|15 33.92 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr16 A3|16 12.41 cM	mouse chr16 A3|16 12.41 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 G2|5 74.93 cM	mouse chr5 G2|5 74.93 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX D|X 43.9 cM	mouse chrX D|X 43.9 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 B1.2|11 28.93 cM	mouse chr11 B1.2|11 28.93 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr3 F1|3 39.11 cM	mouse chr3 F1|3 39.11 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr1 B|1 16.13 cM	mouse chr1 B|1 16.13 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr6 B2.1|6 21.12 cM	mouse chr6 B2.1|6 21.12 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr16 C4|16 53.64 cM	mouse chr16 C4|16 53.64 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr14 C1|14 26.4 cM	mouse chr14 C1|14 26.4 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr15 E1|15 37.55 cM	mouse chr15 E1|15 37.55 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 A1|17 2.01 cM	mouse chr17 A1|17 2.01 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 A1|5	mouse chr5 A1|5	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr15 D1|15 21.15 cM	mouse chr15 D1|15 21.15 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX D|X 45.79 cM	mouse chrX D|X 45.79 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 B1|7 19.4 cM	mouse chr7 B1|7 19.4 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 D|9 42.48 cM	mouse chr9 D|9 42.48 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX E3|X 56.25 cM	mouse chrX E3|X 56.25 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7|7 E1	mouse chr7|7 E1	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 H4|2 97.87 cM	mouse chr2 H4|2 97.87 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr6 B2.3|6 23.87 cM	mouse chr6 B2.3|6 23.87 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12 D2|12 41.67 cM	mouse chr12 D2|12 41.67 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr3 G3|3 63.94 cM	mouse chr3 G3|3 63.94 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 C|7 34.29 cM	mouse chr7 C|7 34.29 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 B1.3|11 37.71 cM	mouse chr11 B1.3|11 37.71 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX A1.1|X 4.08 cM	mouse chrX A1.1|X 4.08 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 A1|17	mouse chr17 A1|17	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 B1|7 19.33 cM	mouse chr7 B1|7 19.33 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr10 B4|10 32.21 cM	mouse chr10 B4|10 32.21 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 A3|7 15.83 cM	mouse chr7 A3|7 15.83 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr3 E3|3 33.61 cM	mouse chr3 E3|3 33.61 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 F2|9 59.91 cM	mouse chr9 F2|9 59.91 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 D3|7 49.01 cM	mouse chr7 D3|7 49.01 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5|5 E5	mouse chr5|5 E5	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12 C3|12 30.42 cM	mouse chr12 C3|12 30.42 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12 A3|12 13.68 cM	mouse chr12 A3|12 13.68 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX F1|X 61.23 cM	mouse chrX F1|X 61.23 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr1 E4|1 58.02 cM	mouse chr1 E4|1 58.02 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 A2|9 4.33 cM	mouse chr9 A2|9 4.33 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 D|17 29.2 cM	mouse chr17 D|17 29.2 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX D|X 47.62 cM	mouse chrX D|X 47.62 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 B3|7 29.46 cM	mouse chr7 B3|7 29.46 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr15 F1|15 54.57 cM	mouse chr15 F1|15 54.57 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 E2|11 84.33 cM	mouse chr11 E2|11 84.33 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 E3|7 54.81 cM	mouse chr7 E3|7 54.81 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 E1.1|17 38.8 cM	mouse chr17 E1.1|17 38.8 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 H4|2 97.89 cM	mouse chr2 H4|2 97.89 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 B1.3|11 37.7 cM	mouse chr11 B1.3|11 37.7 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 55.99 cM|5 F	mouse chr5 55.99 cM|5 F	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12 E|12 51.45 cM	mouse chr12 E|12 51.45 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 D|11 64.56 cM	mouse chr11 D|11 64.56 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 E2|7	mouse chr7 E2|7	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 A1|11 2.56 cM	mouse chr11 A1|11 2.56 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr18 B2|18 19.22 cM	mouse chr18 B2|18 19.22 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr3 E3|3 32.59 cM	mouse chr3 E3|3 32.59 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 A3|5 10.49 cM	mouse chr5 A3|5 10.49 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr10 B4|10 32.4 cM	mouse chr10 B4|10 32.4 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 A3|2 17.44 cM	mouse chr2 A3|2 17.44 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr15 F3|15 58.88 cM	mouse chr15 F3|15 58.88 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr6 A2|6 8.16 cM	mouse chr6 A2|6 8.16 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 B3|17 19.65 cM	mouse chr17 B3|17 19.65 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr19 A|19 4.35 cM	mouse chr19 A|19 4.35 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr8 C5|8 46.55 cM	mouse chr8 C5|8 46.55 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr16 A3|16 10.61 cM	mouse chr16 A3|16 10.61 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 A1|9	mouse chr9 A1|9	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F3|7 69.4 cM	mouse chr7 F3|7 69.4 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 D|2 49.81 cM	mouse chr2 D|2 49.81 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr14 C1|14 22.65 cM	mouse chr14 C1|14 22.65 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 E3|2 56.99 cM	mouse chr2 E3|2 56.99 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr15 D3|15 35.75 cM	mouse chr15 D3|15 35.75 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 D|11 63.22 cM	mouse chr11 D|11 63.22 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr15 E1|15 37.89 cM	mouse chr15 E1|15 37.89 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 A3|7 10.19 cM	mouse chr7 A3|7 10.19 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX A1.1|X 3.7 cM	mouse chrX A1.1|X 3.7 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 F|5 60.65 cM	mouse chr5 F|5 60.65 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX D|X 45.76 cM	mouse chrX D|X 45.76 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 D|17 29.39 cM	mouse chr17 D|17 29.39 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr16|16 C1.2	mouse chr16|16 C1.2	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F3|7 76.29 cM	mouse chr7 F3|7 76.29 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 B3|5 19.26 cM	mouse chr5 B3|5 19.26 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12|12 D2	mouse chr12|12 D2	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr14 D1|14 33.19 cM	mouse chr14 D1|14 33.19 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12 E|12 52.14 cM	mouse chr12 E|12 52.14 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr19 D3|19 56.28 cM	mouse chr19 D3|19 56.28 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 B|9 30.28 cM	mouse chr9 B|9 30.28 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX A7.3|X 38.15 cM	mouse chrX A7.3|X 38.15 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr3 G1|3 50.13 cM	mouse chr3 G1|3 50.13 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 D|11 61.07 cM	mouse chr11 D|11 61.07 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr18 B3|18 23.49 cM	mouse chr18 B3|18 23.49 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr10 D1|10 51.46 cM	mouse chr10 D1|10 51.46 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr6 B3|6 29.24 cM	mouse chr6 B3|6 29.24 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr13 A3.3|13	mouse chr13 A3.3|13	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 A3.3|17 12.83 cM	mouse chr17 A3.3|17 12.83 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 A1|5 2.61 cM	mouse chr5 A1|5 2.61 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 D|11 59.08 cM	mouse chr11 D|11 59.08 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 B5|7 33.52 cM	mouse chr7 B5|7 33.52 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 B1|7 18.95 cM	mouse chr7 B1|7 18.95 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 D|2 49.77 cM	mouse chr2 D|2 49.77 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr14 A1|14 4.7 cM	mouse chr14 A1|14 4.7 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr19 C1|19 20.53 cM	mouse chr19 C1|19 20.53 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 A5.1|9 20.9 cM	mouse chr9 A5.1|9 20.9 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12 E|12 52.92 cM	mouse chr12 E|12 52.92 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr1 C3|1 33.75 cM	mouse chr1 C3|1 33.75 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 A5.1|9 20.94 cM	mouse chr9 A5.1|9 20.94 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX|X F1	mouse chrX|X F1	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 E3|7 56.09 cM	mouse chr7 E3|7 56.09 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr1 C1.1|1 23.63 cM	mouse chr1 C1.1|1 23.63 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 D|11 60.13 cM	mouse chr11 D|11 60.13 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 A2|7 8.74 cM	mouse chr7 A2|7 8.74 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 G2|5 74.97 cM	mouse chr5 G2|5 74.97 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr13 A3.2|13 13.52 cM	mouse chr13 A3.2|13 13.52 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 E2|11 84.37 cM	mouse chr11 E2|11 84.37 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 D|11 63.54 cM	mouse chr11 D|11 63.54 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr1 H6|1 97.11 cM	mouse chr1 H6|1 97.11 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr14 C1|14	mouse chr14 C1|14	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr8 C2|8 39.59 cM	mouse chr8 C2|8 39.59 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F3|7 69.39 cM	mouse chr7 F3|7 69.39 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12 C3|12 36.46 cM	mouse chr12 C3|12 36.46 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 B1|17 18.39 cM	mouse chr17 B1|17 18.39 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr19 C1|19 29.76 cM	mouse chr19 C1|19 29.76 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 E3|7 54.78 cM	mouse chr7 E3|7 54.78 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 C|9 36.77 cM	mouse chr9 C|9 36.77 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr10 C1|10 38.49 cM	mouse chr10 C1|10 38.49 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 F|5 60.58 cM	mouse chr5 F|5 60.58 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr3 F2.1|3	mouse chr3 F2.1|3	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr3 G3|3 58.05 cM	mouse chr3 G3|3 58.05 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 D|9	mouse chr9 D|9	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 D2|7 45.06 cM	mouse chr7 D2|7 45.06 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12 A1.1|12 3.96 cM	mouse chr12 A1.1|12 3.96 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr12 D1|12 37.2 cM	mouse chr12 D1|12 37.2 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr15 A1|15 1.86 cM	mouse chr15 A1|15 1.86 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 B1|17 18.77 cM	mouse chr17 B1|17 18.77 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX A7.3|X 37.31 cM	mouse chrX A7.3|X 37.31 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX A1.1|X 3.31 cM	mouse chrX A1.1|X 3.31 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr15 F1|15 56.36 cM	mouse chr15 F1|15 56.36 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 B4|11 43.93 cM	mouse chr11 B4|11 43.93 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr4 D1|4 53.22 cM	mouse chr4 D1|4 53.22 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr17 E3|17 49.56 cM	mouse chr17 E3|17 49.56 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 B1|7 19.37 cM	mouse chr7 B1|7 19.37 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr9 A3|9 7.51 cM	mouse chr9 A3|9 7.51 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr11 E1|11 69.46 cM	mouse chr11 E1|11 69.46 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr5 E5|5 50.54 cM	mouse chr5 E5|5 50.54 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr6 G2|6 69.77 cM	mouse chr6 G2|6 69.77 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr13|13 D2.2	mouse chr13|13 D2.2	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 B|2 20.57 cM	mouse chr2 B|2 20.57 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr2 E5|2 60.38 cM	mouse chr2 E5|2 60.38 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chrX A1.1|X 3.42 cM	mouse chrX A1.1|X 3.42 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr8 B1.3|8 29.27 cM	mouse chr8 B1.3|8 29.27 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 F3|7 76.31 cM	mouse chr7 F3|7 76.31 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
mouse chr7 E3|7 54.76 cM	mouse chr7 E3|7 54.76 cM	0.999999999939144	-6.08557457898451e-11	2	0	0	1868	24140
